Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
87,77,87,79,74,84,85,81,78,76,81,76,81,79,84,80,81,83,87,79,71,84,73,88,70,88,78,74,85,82,83,77,87,87,73,75,88,83,77,84,84,73,83,72,79,82,82,83,78,81,80,83,86,86,83,78,82,86,80,83,71,88,68,83,87,85,79,78,82,85,71,88,83,80,86,78,87,65,87,73,84,90,83,79,84,80,84,78,74,85,74,84,83,81,89,85,87,81,88,83,4802626300
87,77,87,79,74,84,85,81,78,76,81,77,81,79,84,80,81,83,87,79,71,84,73,88,70,88,78,74,85,82,83,77,87,89,73,75,88,83,77,84,84,73,83,72,79,83,82,83,78,81,80,83,86,86,83,78,82,86,80,83,83,89,68,83,87,86,79,78,82,85,71,88,83,80,86,78,87,65,87,73,84,90,83,79,84,80,84,78,74,85,74,84,83,81,89,85,87,85,88,83,4818875700
87,77,87,90,74,84,85,93,78,80,90,89,81,79,84,91,81,83,87,79,71,84,93,91,70,93,78,74,85,82,83,83,87,92,73,92,88,86,78,84,84,73,93,76,79,89,82,83,78,81,93,83,86,86,83,78,82,88,80,83,92,89,68,83,87,90,91,78,82,85,92,88,83,90,86,87,87,65,87,91,84,91,83,90,89,80,84,89,79,85,74,84,83,92,92,85,87,92,88,83,4985821500
89,77,91,93,74,84,93,93,92,90,93,89,83,79,93,92,81,83,87,93,71,84,93,93,81,93,78,93,85,82,92,89,87,94,82,92,92,87,83,84,91,91,93,93,80,89,82,91,92,83,93,90,93,87,83,79,82,93,92,92,92,89,91,83,92,93,93,86,91,92,93,94,83,92,86,87,93,77,87,93,91,92,83,93,91,91,85,92,81,89,79,84,83,93,93,85,87,92,91,84,5213318100
93,77,94,94,94,94,94,94,94,93,94,94,94,94,94,94,81,94,94,94,94,94,94,93,87,94,94,94,85,82,94,93,87,94,94,94,94,87,94,84,94,94,93,94,80,93,82,93,93,94,93,94,93,94,94,94,94,94,92,93,94,90,93,94,93,94,94,94,94,94,93,94,94,94,89,94,93,94,94,93,94,94,83,94,93,94,93,94,81,94,93,93,94,94,94,85,94,94,94,94,6333117800
94,85,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,87,94,94,94,85,82,94,94,87,94,94,94,94,88,94,93,94,94,93,94,86,94,93,94,94,94,93,94,94,94,94,94,94,94,93,94,94,93,94,94,93,94,94,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,6777613600
94,93,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,87,94,94,94,85,82,94,94,87,94,94,94,94,92,94,93,94,94,93,94,86,94,93,94,94,94,93,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,93,94,94,94,94,94,94,94,94,7078143400
94,94,94,94,94,94,94,94,95,95,95,94,95,94,94,94,94,95,94,94,94,94,94,95,87,94,94,94,86,82,94,94,93,94,94,94,95,92,94,93,94,95,95,94,86,94,93,94,94,94,93,94,94,94,95,94,94,94,93,94,94,95,94,94,94,95,94,95,94,94,95,94,94,94,93,94,94,94,94,95,94,94,94,94,94,95,94,94,94,94,94,94,94,94,95,95,94,94,94,94,7696964900
94,94,94,94,94,94,94,94,95,95,95,94,95,94,95,94,94,96,94,95,94,95,95,95,94,95,94,94,86,82,94,94,93,94,94,94,95,93,94,94,96,95,95,94,93,94,93,94,94,94,93,94,94,94,95,95,94,95,93,94,94,95,94,94,95,95,95,95,95,94,95,96,94,94,93,94,94,94,94,95,94,94,94,94,95,95,94,94,94,94,94,94,94,94,95,96,94,94,94,94,7928158000
94,94,94,94,94,94,94,94,95,95,95,94,95,94,95,94,94,96,94,95,94,95,96,95,94,95,94,94,86,82,94,94,93,94,94,94,95,94,94,94,96,95,96,94,94,94,93,94,94,94,93,94,94,94,95,95,94,95,93,94,94,96,94,94,95,95,95,95,95,94,95,96,94,94,93,94,94,94,94,95,94,95,94,94,95,95,95,94,94,94,94,94,94,94,95,96,94,94,94,94,8010297300
