Message ID,Issuance Time (unix),Confirmation Time (ns),ParentID,# of Confirmed Messages,# of Issued Messages,ns since start
688,1685538540,5779261000,428,394,1143,15005959800
349,1685538536,9772708600,317,395,1143,15006336000
321,1685538535,10252248300,320,396,1143,15006736600
323,1685538535,10250490400,321,397,1143,15006896000
496,1685538537,8215720200,495,398,1143,15007039300
634,1685538539,6566444500,633,399,1143,15007093100
598,1685538539,7077852400,496,400,1143,15007294600
671,1685538540,5924832300,598,401,1143,15007330200
674,1685538540,5920547800,671,402,1143,15007516800
683,1685538540,5865763500,674,403,1143,15007651100
702,1685538540,5704650400,683,404,1143,15007767100
741,1685538540,5292437800,702,405,1143,15008143300
183,1685538534,11765048500,43,406,1143,15008296100
742,1685538540,5291376000,741,407,1143,15008315600
1112,1685538545,412722400,1111,408,1144,15009004500
161,1685538534,12132147300,149,409,1144,15009775600
218,1685538534,11258225500,107,410,1144,15010437100
690,1685538540,5842447300,688,411,1151,15077096300
738,1685538540,5445338000,690,412,1151,15077305800
517,1685538538,8130605900,323,413,1151,15077454500
593,1685538538,7249118200,517,414,1151,15077594300
846,1685538542,3885852400,593,415,1151,15077722000
442,1685538537,8820469500,394,416,1151,15077855200
192,1685538534,12194223200,191,417,1198,15635327300
194,1685538534,12190815300,192,418,1198,15635490400
63,1685538532,14060106500,47,419,1198,15635659100
97,1685538533,13686556600,63,420,1198,15636318100
381,1685538537,9798495000,194,421,1198,15636500700
330,1685538536,10747051400,97,422,1198,15636983800
331,1685538536,10746347200,330,423,1198,15637168500
266,1685538535,11449487000,265,424,1198,15637692900
391,1685538537,9770219700,266,425,1198,15637728800
392,1685538537,9768352100,391,426,1198,15637924900
426,1685538537,9470717600,392,427,1198,15638031100
639,1685538539,7155479900,426,428,1198,15638217200
640,1685538539,7152035700,639,429,1198,15638355200
650,1685538539,6926400500,640,430,1198,15638607800
694,1685538540,6391065200,650,431,1198,15638708700
695,1685538540,6391045400,694,432,1198,15638813900
696,1685538540,6391043200,695,433,1198,15638947000
697,1685538540,6390926200,696,434,1198,15638975600
750,1685538541,5766135500,697,435,1198,15639220300
768,1685538541,5472926700,750,436,1198,15639527700
202,1685538534,12000682900,150,437,1198,15639661000
324,1685538535,10879611100,202,438,1198,15639781600
368,1685538536,10134357200,324,439,1198,15639899000
700,1685538540,6349603000,368,440,1198,15640039600
777,1685538541,5248689700,768,441,1198,15641876100
806,1685538541,4971149900,777,442,1198,15642220000
811,1685538541,4902777000,806,443,1198,15642410100
104,1685538533,13581423000,67,444,1198,15642571700
812,1685538541,4903408400,811,445,1198,15643282000
859,1685538542,4343951500,812,446,1198,15643362700
335,1685538536,10731635900,167,447,1198,15643700900
473,1685538537,8951735700,335,448,1198,15643922500
130,1685538533,13171634200,33,449,1198,15643990100
406,1685538537,9643012500,130,450,1198,15644711400
178,1685538534,12587694000,109,451,1198,15644787200
188,1685538534,12282508900,178,452,1198,15645242900
342,1685538536,10565638100,188,453,1198,15645404400
554,1685538538,8314694200,479,454,1198,15645584100
651,1685538539,7260405800,554,455,1215,15994179200
805,1685538541,6153206800,708,456,1291,16814185400
617,1685538539,8616140800,616,457,1291,16814429400
366,1685538536,11378875300,342,458,1291,16814677300
572,1685538538,9352481800,406,459,1291,16814853400
69,1685538532,15159103700,30,460,1291,16814977100
155,1685538533,14043846000,69,461,1291,16815083500
527,1685538538,9783379300,434,462,1291,16815229000
528,1685538538,9782794200,527,463,1291,16815358800
854,1685538542,5575140900,366,464,1291,16815707800
855,1685538542,5569887200,854,465,1291,16815877600
856,1685538542,5569688700,855,466,1291,16816029200
179,1685538534,13732755600,125,467,1291,16816897500
369,1685538536,11160683400,179,468,1291,16817071700
488,1685538537,10036877200,457,469,1291,16817105500
378,1685538536,11012305300,282,470,1291,16817239200
515,1685538538,9880825600,466,471,1291,16817482100
529,1685538538,9783289900,515,472,1291,16817613700
313,1685538535,12159799100,105,473,1291,16817796100
294,1685538535,12483813100,281,474,1291,16818032600
880,1685538542,5245102700,856,475,1291,16818377100
681,1685538540,7701353700,651,476,1291,16818538100
531,1685538538,9685968900,529,477,1291,16818903300
623,1685538539,8568718700,531,478,1291,16818951700
304,1685538535,12299926900,106,479,1291,16819281800
703,1685538540,7509611900,488,480,1291,16820199900
746,1685538540,7091643100,703,481,1291,16820373000
116,1685538533,14569165500,70,482,1291,16820435800
224,1685538534,13009685000,162,483,1291,16820658800
635,1685538539,8379989100,634,484,1291,16820949600
636,1685538539,8379802300,635,485,1291,16821042100
637,1685538539,8376627800,636,486,1291,16821456900
113,1685538533,14612282700,60,487,1291,16821677600
181,1685538534,13660313900,113,488,1291,16821794500
884,1685538542,5233719300,823,489,1291,16822974500
897,1685538542,5001302900,884,490,1291,16823138900
902,1685538543,4964439100,897,491,1291,16823300600
376,1685538536,11047834900,301,492,1291,16823737100
303,1685538535,12399302200,116,493,1291,16824107300
903,1685538543,4965174500,902,494,1291,16824292400
749,1685538541,6962984000,349,495,1291,16824656200
152,1685538533,14133270000,131,496,1291,16824865300
1113,1685538545,2227260000,1112,497,1292,16825136400
1114,1685538545,2226954500,1113,498,1293,16825483200
714,1685538540,7443355300,713,499,1293,16825765300
717,1685538540,7426652000,714,500,1293,16825939500
719,1685538540,7426009100,717,501,1293,16827672800
720,1685538540,7425180100,719,502,1293,16827911300
227,1685538535,12950262100,121,503,1293,16828160500
566,1685538538,9425688300,227,504,1293,16828290200
647,1685538539,8545521600,566,505,1309,17206713700
1023,1685538544,4037788100,720,506,1309,17206924600
260,1685538535,13059438900,183,507,1309,17206990500
743,1685538540,7489885900,742,508,1309,17207378700
1143,1685538546,2204279600,1114,509,1310,17207974400
763,1685538541,7160489600,749,510,1310,17208358300
595,1685538539,9298180700,235,511,1310,17208561000
168,1685538534,14260216300,106,512,1310,17208734700
483,1685538537,10483552200,261,513,1310,17209215200
1024,1685538544,4038430400,1023,514,1310,17211877400
129,1685538533,14815364000,60,515,1310,17212112100
407,1685538537,11197590100,313,516,1310,17212530700
163,1685538534,14326397500,56,517,1310,17212661300
337,1685538536,12281026000,129,518,1310,17212934600
297,1685538535,12843945700,296,519,1310,17213200500
487,1685538537,10446052200,357,520,1310,17215491300
241,1685538535,13178870200,108,521,1310,17215583200
384,1685538537,11375266900,383,522,1310,17215910900
385,1685538537,11375338700,384,523,1310,17216063500
374,1685538536,11489511000,297,524,1310,17216281800
480,1685538537,10493405300,374,525,1310,17216540500
584,1685538538,9581669300,381,526,1310,17217377100
547,1685538538,9966799700,376,527,1310,17217613900
398,1685538537,11285919900,294,528,1310,17217939900
399,1685538537,11283585000,398,529,1310,17218130600
449,1685538537,10892657400,155,530,1310,17218294900
339,1685538536,12225654500,161,531,1310,17218503500
860,1685538542,5919491800,859,532,1310,17219053200
185,1685538534,13943580600,107,533,1310,17219272100
228,1685538535,13300791400,165,534,1310,17219612800
387,1685538537,11369235100,385,535,1310,17219922200
509,1685538538,10328960300,473,536,1310,17220230800
680,1685538540,8106571900,637,537,1310,17220314000
852,1685538542,5995861700,680,538,1310,17220679800
523,1685538538,10235931000,378,539,1310,17220763300
545,1685538538,9970690700,280,540,1310,17221272700
156,1685538533,14447966200,34,541,1310,17221453800
222,1685538534,13444490700,104,542,1310,17221903800
861,1685538542,6590802900,860,543,1364,17890518500
853,1685538542,7741344800,852,544,1420,18966871400
938,1685538543,6957676900,853,545,1420,18967009200
1017,1685538544,5864209100,938,546,1420,18967242000
744,1685538540,9249764600,743,547,1420,18967389500
458,1685538537,12531046100,341,548,1420,18967506200
585,1685538538,11945689800,458,549,1474,19582854300
1018,1685538544,6479726700,1017,550,1474,19583185100
1053,1685538544,5858236700,1018,551,1474,19583331800
638,1685538539,11131572400,165,552,1474,19583490900
935,1685538543,7594671900,623,553,1474,19584153300
815,1685538541,8757988100,700,554,1474,19584264900
521,1685538538,12610044600,449,555,1474,19584595900
797,1685538541,9018285200,521,556,1474,19584726700
906,1685538543,7721186600,584,557,1474,19584938100
