Message ID,Issuance Time (unix),Confirmation Time (ns),Weight,# of Confirmed Messages,# of Issued Messages,ns since start
17,1685360094,1911637300,191,333,156,2466038600
9,1685360094,2038030500,235,334,156,2466041300
7,1685360094,2080181000,266,335,156,2466044000
5,1685360094,2113024700,298,336,156,2466061400
2,1685360094,2251946100,370,337,156,2466065100
1,1685360094,2279219200,413,338,156,2466069000
21,1685360094,1859219500,68,339,156,2466086000
12,1685360094,2022200100,86,340,156,2466093700
10,1685360094,2037936100,103,341,156,2466096900
3,1685360094,2216548400,128,342,156,2466100700
17,1685360094,1911942400,196,343,156,2466342800
9,1685360094,2038334600,241,344,156,2466345500
7,1685360094,2080485100,273,345,156,2466348100
5,1685360094,2113314700,306,346,156,2466350700
2,1685360094,2252237200,379,347,156,2466355900
1,1685360094,2279508300,423,348,156,2466358200
88,1685360095,928805900,14,349,157,2466509700
83,1685360095,1023196000,20,350,157,2466513200
82,1685360095,1023369800,27,351,157,2466516300
80,1685360095,1073402800,35,352,157,2466518900
75,1685360095,1135480800,44,353,157,2466526100
74,1685360095,1140021600,54,354,157,2466528800
72,1685360095,1140874700,65,355,157,2466531900
45,1685360095,1480011700,77,356,157,2466534500
44,1685360095,1480135700,90,357,157,2466550900
33,1685360094,1635860500,104,358,157,2466558400
32,1685360094,1635960500,119,359,157,2466562900
31,1685360094,1636088900,135,360,157,2466566300
24,1685360094,1817653600,152,361,158,2505199400
17,1685360094,1950803100,200,362,158,2505202900
9,1685360094,2077194100,246,363,158,2505204800
7,1685360094,2119344100,279,364,158,2505206800
5,1685360094,2152173200,313,365,158,2505209000
2,1685360094,2291092200,387,366,158,2505210600
1,1685360094,2318363300,432,367,158,2505212900
93,1685360095,928173000,14,368,158,2505371500
88,1685360095,967670900,20,369,158,2505374600
83,1685360095,1062060200,27,370,158,2505377200
82,1685360095,1062233600,35,371,158,2505392900
80,1685360095,1112280900,44,372,158,2505396900
75,1685360095,1174354200,54,373,158,2505400100
74,1685360095,1178898100,65,374,158,2505405500
72,1685360095,1179750600,77,375,158,2505407700
45,1685360095,1518886900,90,376,158,2505409600
44,1685360095,1519010300,104,377,158,2505411900
33,1685360094,1674717200,119,378,158,2505413700
32,1685360094,1674816200,135,379,158,2505416600
31,1685360094,1674941700,152,380,158,2505418900
24,1685360094,1817878400,170,381,158,2505420800
17,1685360094,1951023300,219,382,158,2505425100
9,1685360094,2077417100,266,383,158,2505427900
7,1685360094,2119566900,300,384,158,2505429900
5,1685360094,2152395900,335,385,158,2505431700
2,1685360094,2291315700,410,386,158,2505434000
1,1685360094,2318586100,456,387,158,2505435700
9,1685360094,2077476500,285,388,158,2505488400
7,1685360094,2119629300,320,389,158,2505492400
5,1685360094,2152458500,356,390,158,2505494700
2,1685360094,2291378200,432,391,158,2505497200
1,1685360094,2318649400,479,392,158,2505499300
2,1685360094,2292248700,440,393,158,2506368000
1,1685360094,2319520600,488,394,158,2506370200
4,1685360094,2187705200,52,395,158,2506474700
45,1685360095,1519962600,102,396,158,2506485600
44,1685360095,1520086100,117,397,158,2506487700
33,1685360094,1675793500,133,398,158,2506490100
32,1685360094,1675891700,150,399,158,2506492500
31,1685360094,1676017100,168,400,158,2506494500
24,1685360094,1818956200,187,401,158,2506512300
17,1685360094,1952115600,237,402,158,2506515300
9,1685360094,2078510300,290,403,158,2506521300
7,1685360094,2120660800,326,404,158,2506523500
5,1685360094,2153489500,363,405,158,2506525300
2,1685360094,2292408900,445,406,158,2506527400
1,1685360094,2319679400,494,407,158,2506529000
33,1685360094,1676078700,138,408,158,2506775500
32,1685360094,1676177000,156,409,158,2506777400
31,1685360094,1676302200,175,410,158,2506779400
24,1685360094,1819239100,195,411,158,2506781500
17,1685360094,1952386500,246,412,158,2506786400
9,1685360094,2078777500,300,413,158,2506788200
7,1685360094,2120927600,337,414,158,2506790300
5,1685360094,2153761500,375,415,158,2506797300
2,1685360094,2292680700,458,416,158,2506799000
1,1685360094,2319951600,508,417,158,2506801400
94,1685360095,923593900,12,418,159,2506898800
93,1685360095,929715500,18,419,159,2506914300
88,1685360095,969213500,25,420,159,2506916700
83,1685360095,1063601600,33,421,159,2506918500
82,1685360095,1063774300,42,422,159,2506920700
80,1685360095,1113809200,52,423,159,2506925900
75,1685360095,1175883300,63,424,159,2506928100
74,1685360095,1180422800,75,425,159,2506929900
72,1685360095,1181274700,88,426,159,2506931800
45,1685360095,1520411000,105,427,159,2506933600
44,1685360095,1520534900,121,428,159,2506936500
33,1685360094,1676241600,141,429,159,2506938100
32,1685360094,1676340400,160,430,159,2506940900
31,1685360094,1676465500,180,431,159,2506944200
24,1685360094,1819404500,201,432,159,2506947000
17,1685360094,1952549100,253,433,159,2506948600
9,1685360094,2078939700,308,434,159,2506950400
7,1685360094,2121089500,346,435,159,2506952200
5,1685360094,2153917900,385,436,159,2506953800
2,1685360094,2292837100,469,437,159,2506955500
1,1685360094,2320107300,520,438,159,2506957100
17,1685360094,1952644500,273,439,159,2507044300
9,1685360094,2079035600,329,440,159,2507046400
7,1685360094,2121185600,368,441,159,2507048400
5,1685360094,2154014400,408,442,159,2507052000
2,1685360094,2292936300,493,443,159,2507054800
1,1685360094,2320206600,545,444,159,2507056300
94,1685360095,923850300,17,445,160,2507155200
93,1685360095,929960800,24,446,160,2507159600
88,1685360095,981803000,32,447,160,2519508900
83,1685360095,1076196000,41,448,160,2519513300
82,1685360095,1076372600,51,449,160,2519519300
80,1685360095,1126405700,62,450,160,2519521600
75,1685360095,1188479100,74,451,160,2519524000
74,1685360095,1193021100,87,452,160,2519528500
72,1685360095,1193873700,101,453,160,2519530900
45,1685360095,1533011500,119,454,160,2519534200
44,1685360095,1533134400,136,455,160,2519536400
33,1685360094,1688841700,157,456,160,2519538300
32,1685360094,1688939700,177,457,160,2519540100
31,1685360094,1689064700,198,458,160,2519542000
24,1685360094,1832002400,220,459,160,2519544900
17,1685360094,1965148100,277,460,160,2519548100
9,1685360094,2091539900,334,461,160,2519550700
7,1685360094,2133690300,374,462,160,2519553400
5,1685360094,2166520100,415,463,160,2519556500
2,1685360094,2305440400,501,464,160,2519558900
1,1685360094,2332711400,554,465,160,2519561200
43,1685360094,1606699000,21,466,160,2519649900
36,1685360094,1655634400,29,467,160,2519652200
30,1685360094,1689733600,38,468,160,2519654500
29,1685360094,1690167100,48,469,160,2519656700
21,1685360094,1912794600,72,470,160,2519660800
12,1685360094,2075770500,91,471,160,2519663500
10,1685360094,2091505400,109,472,160,2519666100
3,1685360094,2270116800,135,473,160,2519670200
49,1685360095,1443959900,14,474,160,2519736600
43,1685360094,1606787900,27,475,160,2519738600
36,1685360094,1655722900,36,476,160,2519740700
30,1685360094,1689821700,46,477,160,2519742700
29,1685360094,1690256500,57,478,160,2519746100
21,1685360094,1912881900,82,479,160,2519748100
12,1685360094,2075857400,102,480,160,2519750500
10,1685360094,2091592000,121,481,160,2519752700
3,1685360094,2270203300,148,482,160,2519754900
156,1685360096,76764500,14,483,161,2519845100
94,1685360095,936543200,23,484,161,2519847900
93,1685360095,942652200,31,485,161,2519850300
88,1685360095,982149300,40,486,161,2519852700
83,1685360095,1076539400,50,487,161,2519858600
82,1685360095,1076715300,61,488,161,2519861900
80,1685360095,1126748100,73,489,161,2519864000
75,1685360095,1188821300,86,490,161,2519866300
74,1685360095,1193361300,100,491,161,2519868700
72,1685360095,1194218900,115,492,161,2519876400
45,1685360095,1533358500,134,493,161,2519881700
44,1685360095,1533482300,152,494,161,2519884100
33,1685360094,1689189600,174,495,161,2519886300
32,1685360094,1689288000,195,496,161,2519888400
31,1685360094,1689413400,217,497,161,2519890800
24,1685360094,1832350800,240,498,161,2519893600
17,1685360094,1965496600,298,499,161,2519896500
9,1685360094,2091888100,356,500,161,2519901100
7,1685360094,2134041600,397,501,161,2519904600
5,1685360094,2166870900,439,502,161,2519906900
2,1685360094,2305790600,526,503,161,2519909100
1,1685360094,2333061600,580,504,161,2519911500
157,1685360096,53608300,14,505,162,2519999700
156,1685360096,76921900,20,506,162,2520001800
94,1685360095,936699300,30,507,162,2520003800
93,1685360095,942807800,39,508,162,2520006000
88,1685360095,982305900,49,509,162,2520009200
83,1685360095,1076694400,60,510,162,2520011600
82,1685360095,1076867400,72,511,162,2520013800
80,1685360095,1126900000,85,512,162,2520018000
75,1685360095,1188977200,99,513,162,2520022200
74,1685360095,1193518300,114,514,162,2520025500
72,1685360095,1194370500,130,515,162,2520027600
45,1685360095,1533506800,150,516,162,2520029600
44,1685360095,1533630100,169,517,162,2520031700
33,1685360094,1689337200,192,518,162,2520033700
32,1685360094,1689435200,214,519,162,2520035800
31,1685360094,1689560700,237,520,162,2520037900
24,1685360094,1832497500,261,521,162,2520040100
17,1685360094,1965642700,320,522,162,2520042500
9,1685360094,2092034000,379,523,162,2520046700
7,1685360094,2134187300,421,524,162,2520050200
5,1685360094,2167016400,464,525,162,2520052300
2,1685360094,2305935900,552,526,162,2520054400
1,1685360094,2333208400,607,527,162,2520058200
159,1685360096,13321900,14,528,163,2520139000
157,1685360096,53750500,20,529,163,2520142300
156,1685360096,77064600,27,530,163,2520144600
94,1685360095,936842000,38,531,163,2520146500
93,1685360095,942951700,48,532,163,2520149700
88,1685360095,982448500,59,533,163,2520152000
83,1685360095,1093696800,71,534,164,2537015000
82,1685360095,1093871400,84,535,164,2537017700
80,1685360095,1143904000,98,536,164,2537019900
75,1685360095,1205979100,113,537,164,2537024100
74,1685360095,1210519300,129,538,164,2537026600
72,1685360095,1211371500,146,539,164,2537028700
